BAK,snr_db,PESQ,SIG,filename,OVRL,processing_timestamp,noise_type
3.7842902275130603,17.5,4.643888473510742,3.3949872777366266,p257_001.wav,2.993877744802407,2025-12-03T12:30:49.407,bus
4.107269705017025,12.5,4.643888473510742,3.514233593665561,p257_002.wav,3.2464525114914133,2025-12-03T12:30:50.178,bus
3.9126866274783967,7.5,4.643888473510742,3.5538437999845165,p257_003.wav,3.207361849740659,2025-12-03T12:30:50.991,bus
4.168637199246125,2.5,4.643888473510742,3.614371974195836,p257_004.wav,3.377827717149205,2025-12-03T12:30:53.409,bus
4.0850601335185885,17.5,4.643888473510742,3.6022879414937887,p257_006.wav,3.296065015275989,2025-12-03T12:30:57.347,cafe
4.161509323751048,12.5,4.643888473510742,3.7034862649961386,p257_007.wav,3.455865136328014,2025-12-03T12:30:59.336,cafe
4.093070994590745,7.5,4.643888473510742,3.7073104999925244,p257_008.wav,3.4114046816601773,2025-12-03T12:31:00.342,cafe
4.068151090379717,2.5,4.643888473510742,3.6250668378973345,p257_009.wav,3.352782657411326,2025-12-03T12:31:02.293,cafe
4.087518918731132,17.5,4.643888473510742,3.6046655125767217,p257_010.wav,3.316552504759986,2025-12-03T12:31:02.644,living
4.186970429038801,12.5,4.643888473510742,3.705418140661337,p257_011.wav,3.4687360021576104,2025-12-03T12:31:03.01,living
4.188287407527641,7.5,4.643888473510742,3.7124148099421173,p257_012.wav,3.4796209845623114,2025-12-03T12:31:04.901,living
4.069176865893042,2.5,4.643888473510742,3.643365722053641,p257_013.wav,3.350513257398782,2025-12-03T12:31:05.989,living
4.106177310897641,17.5,4.643888473510742,3.637924436979288,p257_014.wav,3.3683552711763696,2025-12-03T12:31:07.949,office
4.175578526551908,12.5,4.643888473510742,3.718205293833037,p257_015.wav,3.477142203237138,2025-12-03T12:31:08.318,office
4.104188483410925,7.5,4.643888473510742,3.551005775465223,p257_016.wav,3.2683452202775825,2025-12-03T12:31:08.713,office
4.082404806170733,2.5,4.643888473510742,3.6677212861477724,p257_017.wav,3.3667413238447708,2025-12-03T12:31:09.462,office
4.095211432433996,17.5,4.643888473510742,3.660627105449992,p257_018.wav,3.3662281371587572,2025-12-03T12:31:12.652,psquare
4.004705929598067,12.5,4.643888473510742,3.5741296950038146,p257_019.wav,3.2644399537506077,2025-12-03T12:31:13.532,psquare
4.158875784310853,7.5,4.643888473510742,3.66121160508526,p257_020.wav,3.4155482025604322,2025-12-03T12:31:14.949,psquare
4.188539420579377,2.5,4.643888473510742,3.7072231205757777,p257_022.wav,3.4734330055614624,2025-12-03T12:31:15.337,psquare
4.032679916066785,17.5,4.643888473510742,3.6635877040150553,p257_023.wav,3.3531173482373937,2025-12-03T12:31:18.006,bus
4.1313972801311145,12.5,4.643888473510742,3.7278148159455444,p257_024.wav,3.4624695654709154,2025-12-03T12:31:18.399,bus
4.161201183666997,7.5,4.643888473510742,3.71214730105025,p257_025.wav,3.4486931572240906,2025-12-03T12:31:18.792,bus
3.946339089551009,2.5,4.643888473510742,3.1441355249886227,p257_026.wav,2.8640429749680427,2025-12-03T12:31:21.403,bus
3.9249580379778384,17.5,4.643888473510742,3.5138433730008143,p257_027.wav,3.162602704738721,2025-12-03T12:31:22.898,cafe
3.9066007242790923,12.5,4.643888473510742,3.172278086354038,p257_028.wav,2.874060738669134,2025-12-03T12:31:25.298,cafe
4.211533679649935,7.5,4.643888473510742,3.7377399408183245,p257_029.wav,3.525300285267266,2025-12-03T12:31:28.357,cafe
4.180725968383318,2.5,4.643888473510742,3.69978769483977,p257_030.wav,3.4638941849520997,2025-12-03T12:31:29.061,cafe
3.8356937304064234,17.5,4.643888473510742,3.219617411817671,p257_031.wav,2.8115320913699353,2025-12-03T12:31:29.438,living
4.175153967430135,12.5,4.643888473510742,3.7844882241089763,p257_032.wav,3.5414741916503267,2025-12-03T12:31:30.544,living
3.9808157802871116,7.5,4.643888473510742,3.3907367822439283,p257_033.wav,3.062565531797676,2025-12-03T12:31:32.595,living
4.121140256010347,2.5,4.643888473510742,3.5555044887609077,p257_034.wav,3.2895588819000228,2025-12-03T12:31:34.842,living
3.9955695169108196,17.5,4.643888473510742,3.3944883317274375,p257_035.wav,3.090542667164224,2025-12-03T12:31:36.302,office
3.8704975462481244,12.5,4.643888473510742,3.0043892980889324,p257_036.wav,2.695913566810628,2025-12-03T12:31:38.289,office
3.8680930534760067,7.5,4.643888473510742,3.207865232740041,p257_037.wav,2.862907990012203,2025-12-03T12:31:39.071,office
3.990650373641581,2.5,4.643888473510742,3.6517597843861838,p257_038.wav,3.327453676907651,2025-12-03T12:31:40.916,office
3.972776166600796,17.5,4.643888473510742,3.5963312139454606,p257_039.wav,3.253797313362701,2025-12-03T12:31:41.531,psquare
4.129154525017548,12.5,4.643888473510742,3.612635842892787,p257_040.wav,3.337900579163193,2025-12-03T12:31:42.025,psquare
3.865587746493505,7.5,4.643888473510742,3.4305305671952038,p257_041.wav,3.0569325956648283,2025-12-03T12:31:43.996,psquare
3.944432988177117,2.5,4.643888473510742,3.121174617934836,p257_042.wav,2.8411672733671347,2025-12-03T12:31:46.626,psquare
3.857829324550189,17.5,4.643888473510742,3.4632583866238233,p257_043.wav,3.084487483528895,2025-12-03T12:31:49.947,bus
3.8842420399728477,12.5,4.643888473510742,3.4309802119131114,p257_044.wav,3.0537809546323453,2025-12-03T12:31:52.624,bus
4.063250125810594,7.5,4.643888473510742,3.3094918687852513,p257_045.wav,3.0571751525311956,2025-12-03T12:31:54.994,bus
