BAK,snr_db,PESQ,SIG,filename,OVRL,processing_timestamp,noise_type
3.7160769854686886,17.5,2.7126283645629883,3.3821457181203476,p257_001.wav,2.958510233672275,2025-12-03T12:07:35.765,bus
3.6993811331656694,12.5,2.4228460788726807,3.3745290965948675,p257_002.wav,2.944887717934808,2025-12-03T12:07:36.078,bus
2.664902204687268,7.5,1.7149710655212402,3.6480278618770097,p257_003.wav,2.616708235835125,2025-12-03T12:07:36.399,bus
3.199839066919687,2.5,1.6315703392028809,3.4640056094890683,p257_004.wav,2.7284477972776733,2025-12-03T12:07:37.126,bus
3.4075921992095304,17.5,2.2113945484161377,3.517448871356167,p257_006.wav,2.8922419286220866,2025-12-03T12:07:38.302,cafe
2.101558350517511,12.5,1.3774523735046387,3.368638279500109,p257_007.wav,2.134027610983235,2025-12-03T12:07:39.217,cafe
2.125086438415017,7.5,1.2433618307113647,3.4800926572837625,p257_008.wav,2.246857172802641,2025-12-03T12:07:39.737,cafe
1.1336468430887439,2.5,1.0815154314041138,1.1895136135284672,p257_009.wav,1.1022536456664782,2025-12-03T12:07:40.693,cafe
3.6215605983395536,17.5,2.4992825984954834,3.532153997041017,p257_010.wav,3.035361166806459,2025-12-03T12:07:40.984,living
4.0639150740973315,12.5,2.615462064743042,3.524960007060232,p257_011.wav,3.238178371352284,2025-12-03T12:07:41.391,living
3.6342066594341804,7.5,1.5538151264190674,3.759597832310945,p257_012.wav,3.1984079196045516,2025-12-03T12:07:43.226,living
1.5308497471014526,2.5,1.111824870109558,2.499073148009742,p257_013.wav,1.5129178769589757,2025-12-03T12:07:44.515,living
3.9079185320253353,17.5,3.302428722381592,3.614264441478158,p257_014.wav,3.2579296251580074,2025-12-03T12:07:46.506,office
4.0549525998251,12.5,3.40028715133667,3.640917445089603,p257_015.wav,3.3563087460435117,2025-12-03T12:07:46.891,office
4.01990618419889,7.5,2.3064327239990234,3.495989655190075,p257_016.wav,3.173813571502566,2025-12-03T12:07:47.424,office
3.5511080269176967,2.5,1.2466461658477783,3.3676974804907553,p257_017.wav,2.8874374818270905,2025-12-03T12:07:48.329,office
3.8122655819680804,17.5,2.7307679653167725,3.5807102701632405,p257_018.wav,3.179197753663456,2025-12-03T12:07:50.83,psquare
3.406885094682571,12.5,1.9493324756622314,3.585483363556382,p257_019.wav,2.9871466691266515,2025-12-03T12:07:51.639,psquare
2.8746619157275637,7.5,1.3211705684661865,3.5676522692569055,p257_020.wav,2.6383065784255195,2025-12-03T12:07:52.999,psquare
3.2917495555874146,2.5,1.3542181253433228,3.716201641473841,p257_022.wav,3.026708594217168,2025-12-03T12:07:53.386,psquare
3.7428679779497145,17.5,3.1126742362976074,3.5763392886922776,p257_023.wav,3.1439143464822776,2025-12-03T12:07:56.065,bus
3.912195560829164,12.5,3.407249689102173,3.7469241008069054,p257_024.wav,3.3488908044365857,2025-12-03T12:07:56.452,bus
3.6416948416131545,7.5,2.626598834991455,3.432212869718044,p257_025.wav,2.9783786693718812,2025-12-03T12:07:56.842,bus
3.696213247228026,2.5,1.4831631183624268,3.369830824325245,p257_026.wav,2.892088600897607,2025-12-03T12:07:58.84,bus
3.185796412934211,17.5,1.3511688709259033,3.549684849835213,p257_027.wav,2.8450064387119105,2025-12-03T12:07:59.888,cafe
2.7718711017042104,12.5,1.569170355796814,3.3595935376753445,p257_028.wav,2.505810173914619,2025-12-03T12:08:01.754,cafe
2.585327793739084,7.5,1.1429497003555298,3.6652238934893875,p257_029.wav,2.568782649159012,2025-12-03T12:08:04.127,cafe
3.066391149743364,2.5,1.1645448207855225,3.5866047659444726,p257_030.wav,2.8032191906147075,2025-12-03T12:08:04.941,cafe
2.789015585609714,17.5,2.1757125854492188,3.221398781516951,p257_031.wav,2.395622212181124,2025-12-03T12:08:05.326,living
3.29773542315059,12.5,1.8213056325912476,3.709461103357153,p257_032.wav,2.955411739768534,2025-12-03T12:08:06.351,living
2.295705865836579,7.5,1.1685715913772583,2.8388160401632305,p257_033.wav,2.0727077904478555,2025-12-03T12:08:08.224,living
1.5052372264263123,2.5,1.2377210855484009,2.1151830887048515,p257_034.wav,1.4743714127432785,2025-12-03T12:08:10.285,living
3.986790581203949,17.5,3.2048473358154297,3.4619546620444446,p257_035.wav,3.14113666348055,2025-12-03T12:08:11.667,office
3.7119026127036205,12.5,1.465663194656372,3.1361962293159507,p257_036.wav,2.730634525149413,2025-12-03T12:08:13.381,office
3.600213869701511,7.5,1.7341588735580444,3.3481209796950733,p257_037.wav,2.8469194788537475,2025-12-03T12:08:14.069,office
3.338447038674153,2.5,2.1001596450805664,3.6074579383479395,p257_038.wav,2.9282581298483645,2025-12-03T12:08:15.82,office
3.841037316947901,17.5,2.5916552543640137,3.5810965244163655,p257_039.wav,3.201614827175067,2025-12-03T12:08:16.333,psquare
3.244341738167615,12.5,1.5983332395553589,3.675079768206244,p257_040.wav,2.940811774612575,2025-12-03T12:08:16.854,psquare
3.4826104742311874,7.5,1.1257587671279907,3.5673406782124593,p257_041.wav,2.9744191380014273,2025-12-03T12:08:18.82,psquare
2.8587923919677722,2.5,1.042665719985962,3.39842231232993,p257_042.wav,2.52900813558566,2025-12-03T12:08:20.84,psquare
3.2269152735258695,17.5,1.7411367893218994,3.6194472189891456,p257_043.wav,2.900033232669046,2025-12-03T12:08:23.206,bus
3.5391614485059923,12.5,2.704338550567627,3.4473278544459185,p257_044.wav,2.90015131926729,2025-12-03T12:08:25.108,bus
