SNR,PESQ,SIG,OVRL,BAK
17.5,2.5711902251430585,3.527466431499054,3.00424531181065,3.5899826082692003
12.5,2.0963110633012727,3.485657387647341,2.857017580233442,3.3305488757398645
7.5,1.7435766140234124,3.3663651637957757,2.6513917091430614,3.0231233508198807
2.5,1.4121853339962842,2.92342058389613,2.22141378180252,2.4684502145400837
