file,noise,snr_db,system,PESQ,SIG,BAK,OVRL,elapsed_s,rtf,run_id,git_sha,CSIG,CBAK,COVL
p257_001.wav,bus,17.5,Unprocessed,2.759453535079956,3.459105922955655,3.839760454058949,3.079190015684634,9.015891790390015,4.062013027517817,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.388338525286784,3.355776915349665,3.5810211744768994
p257_001.wav,bus,17.5,SEM_uFB,2.958381414413452,3.5475382995979374,4.070998922019096,3.2603784671205682,21.860015869140625,9.848794917530201,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.459698974841096,2.959024339822462,3.7157031054109546
p257_001.wav,bus,17.5,SEM,3.0011186599731445,3.527992817203646,4.06801796388202,3.2366639956213277,3.7322490215301514,1.681524634485468,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.479133308968868,2.9270918252357223,3.7433841133960564
p257_001.wav,bus,17.5,AIDA2_thetauFB,1.6923484802246094,3.5333360738410127,4.098667539346731,3.253254512204652,4.19153094291687,1.8884491619032446,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.46548386849752,2.2674329241535602,2.57968803092296
p257_001.wav,bus,17.5,AIDA2_betauFB,2.951842784881592,3.547955234848923,4.073354060384181,3.2621897573936045,3.7706329822540283,1.6988181149456385,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.457067284111483,2.9560127498567175,3.7111121438334354
p257_001.wav,bus,17.5,AIDA2_thetaWFB,1.645859956741333,3.509271664836458,4.099602550384144,3.2327471121640587,3.6824848651885986,1.6591039293503107,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.4636005223789903,2.201767449705869,2.550594731552529
p257_001.wav,bus,17.5,AIDA2_betaWFB,3.0486223697662354,3.525366287214671,4.062740979095303,3.2315646924502777,3.6525819301605225,1.6456314837543538,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.508551399687199,2.9495921051123166,3.7819393380144444
p257_001.wav,bus,17.5,SEM_lit_uFB,2.9293909072875977,3.5471147738618702,4.103142506248104,3.2717317435989637,3.3768670558929443,1.5214111140789883,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.433248977005367,2.9299385341367437,3.687803875334038
p257_001.wav,bus,17.5,SEM_lit,2.5119993686676025,3.5315575018805077,4.086307092646282,3.246604930899988,3.1980769634246826,1.440859161850447,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.167391389125446,2.6752270915756236,3.340490152640736
p257_002.wav,bus,12.5,Unprocessed,2.443467378616333,3.422313110464155,3.584891150852293,2.935053124398612,0.5409121513366699,0.1948443068437732,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.2569643485660285,2.9856929938515884,3.3575931803093058
p257_002.wav,bus,12.5,SEM_uFB,2.569138765335083,3.292302985378452,3.83527763258512,2.928956808939966,1.7787020206451416,0.6407139522338301,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.2846292659396825,2.583239349117474,3.4339057512674858
p257_002.wav,bus,12.5,SEM,2.6762497425079346,3.366789655455405,3.892449841940501,3.0091887106898887,1.8826329708099365,0.6781513695564633,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.376771505890391,2.568741100206052,3.5317360773658675
p257_002.wav,bus,12.5,AIDA2_thetauFB,1.6323672533035278,3.131899702822916,3.89710451437351,2.81322587573759,1.9533710479736328,0.703632238452387,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.578111248707964,2.213425230795445,2.6078838242841393
p257_002.wav,bus,12.5,AIDA2_betauFB,2.5687777996063232,3.2940051548420795,3.837532409833196,2.9312792552793945,1.7447140216827393,0.6284709880436721,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.284868402060586,2.583050997019294,3.4338526253248767
p257_002.wav,bus,12.5,AIDA2_thetaWFB,1.7588586807250977,3.1103926413910568,3.874938496126865,2.7842752176203813,1.7598319053649902,0.6339166663478735,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.741602502002918,2.2142781834987804,2.7515947535197665
p257_002.wav,bus,12.5,AIDA2_betaWFB,2.672494888305664,3.3653265936902654,3.8860972459134655,3.005338027766329,1.7983980178833008,0.6478087326339055,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.3739251502944905,2.566551312469646,3.528330237846008
p257_002.wav,bus,12.5,SEM_lit_uFB,2.5005276203155518,3.15235441244743,3.784190134662241,2.789652427536948,1.7723309993743896,0.6384190190911395,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.189665216289219,2.6081395283969506,3.3515151718333667
p257_002.wav,bus,12.5,SEM_lit,2.6844043731689453,3.1762808693087727,3.7088324389527005,2.776327401433952,1.8195350170135498,0.655422582561502,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,4.339554398319858,2.626647702232108,3.51699642016293
p257_003.wav,bus,7.5,Unprocessed,1.7679306268692017,3.680467591899844,2.8244209332592236,2.720457608110989,0.7187130451202393,0.13016774075958285,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.490967537567859,2.402786128273341,2.6066458307983496
p257_003.wav,bus,7.5,SEM_uFB,1.698248267173767,3.5900853669527226,3.2216360185921378,2.8778659492584175,3.2709131240844727,0.5924024539052507,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.3785366112043462,2.043114754913635,2.5144798595752507
p257_003.wav,bus,7.5,SEM,1.6802260875701904,3.5937834812870526,3.208141790679929,2.879910780885323,3.0554440021514893,0.5533783552112089,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.3816158525493085,1.9835268860404647,2.5047641482182854
p257_003.wav,bus,7.5,AIDA2_thetauFB,1.1663756370544434,2.9958677370561224,3.4505656098284545,2.5386892051870804,3.201159954071045,0.579769299946082,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,2.7790842677627707,1.9380321459191,1.945185672320453
p257_003.wav,bus,7.5,AIDA2_betauFB,1.6937973499298096,3.617828592104461,3.230312514228934,2.898462930204782,3.1316981315612793,0.5671889125904765,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.387438255156723,2.0370986286562442,2.516758557954771
p257_003.wav,bus,7.5,AIDA2_thetaWFB,1.235252857208252,2.7757850566831888,3.423893683034643,2.3395295323106104,3.3912949562072754,0.6142050790590812,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,2.9127153160042876,1.9108198944156771,2.042526165223952
p257_003.wav,bus,7.5,AIDA2_betaWFB,1.6702094078063965,3.5931050644934466,3.138517858437442,2.831606679513551,3.1187360286712646,0.5648413168982288,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.3876701015900617,1.9770619593916874,2.5031888187532867
p257_003.wav,bus,7.5,SEM_lit_uFB,1.6972112655639648,3.5698946709167245,3.114471857621808,2.7842165484958383,3.416538953781128,0.618777076401051,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.401812025280655,2.13392031530223,2.525751557596639
p257_003.wav,bus,7.5,SEM_lit,1.714539647102356,3.545383748428594,3.225217491055181,2.8415273409131148,3.0915000438690186,0.5599085462561187,20260417_215957_dab0d880,dab0d880b2f19ee29c20cfc699663be5f7e385df,3.4138098429454544,2.098642946176652,2.5388710177470237
