system,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
Unprocessed,1.964497483760408,3.322737990459047,3.1081833657152673,2.6820762096409085,3.3370126090179224,2.4396888243113812,2.623914175730644,824
SEM_uFB,2.0602454567707857,3.326101881104739,3.3690215202750724,2.78662750487833,3.363920660100564,2.118917854196655,2.6842430964663184,824
SEM,2.1020122523446685,3.3143095617849947,3.3942400758900475,2.785245942017221,3.4090402828236583,2.0988820663512224,2.727301722114166,824
AIDA2_thetauFB,1.7081664835365074,3.154794313941508,3.6900096733478964,2.7578359646075894,3.0119804179993093,2.0804086845737735,2.326211757554172,824
AIDA2_betauFB,2.0585264906431866,3.3288407294471534,3.365427533887109,2.7868109799875453,3.368558104928756,2.117403941512837,2.6859661678667153,824
AIDA2_thetaWFB,1.7572935463734043,3.132934722434159,3.7442735192785683,2.7534082984913515,3.134864119393152,2.0644583176933087,2.4116391568638282,824
AIDA2_betaWFB,2.100665875430246,3.317657894530095,3.3869107139137937,2.7842596816945386,3.408220428017442,2.0974495950742194,2.726695788313642,824
SEM_lit_uFB,2.067225898064456,3.291724848286753,3.4768770622024894,2.7929840628823417,3.3328419797020516,2.1942325104146168,2.671455130583475,824
SEM_lit,2.1646375342190844,3.2789601439521054,3.5011973012806124,2.7805979386725173,3.423289015650453,2.2006519824261477,2.7657638101605335,824
