system,noise,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
AIDA2_betaWFB,bus,2.5,1.9009380709557306,3.3114391384482387,3.3711386166543402,2.746334154393481,3.2803543450072032,1.8326901623345753,2.538361673214292,42
AIDA2_betaWFB,bus,7.5,2.456636582932821,3.439701890162628,3.747651460165738,2.9918620677778636,3.8815711199159804,2.253576626249907,3.1466486544518117,41
AIDA2_betaWFB,bus,12.5,2.8254090983693194,3.428999355190654,3.8528669825278747,3.0440112944914826,4.285724663359523,2.5591353805363384,3.551148872009965,41
AIDA2_betaWFB,bus,17.5,3.385192036628723,3.4447973160693137,3.9101124020663702,3.0952123021959825,4.668656166198387,2.944209465718735,4.081364283443793,40
AIDA2_betaWFB,cafe,2.5,1.1755348443984985,2.4078651156195847,1.9499333011020172,1.77694329759459,1.9975963349163257,1.373874115396553,1.4984614577632078,42
AIDA2_betaWFB,cafe,7.5,1.3951475113630294,3.2554859677282324,2.790857477343265,2.4638456992089055,2.5735315950079096,1.6358282459985336,1.9248583214409791,40
AIDA2_betaWFB,cafe,12.5,1.6480133737005838,3.4540970217495994,3.2290565311296016,2.7697289337552387,3.019093144214818,1.8893387713601468,2.2942494681309262,41
AIDA2_betaWFB,cafe,17.5,2.086463573502331,3.4695796522797493,3.5390023642702984,2.942807873964717,3.5313003583773703,2.227341256249558,2.7876200224154,41
AIDA2_betaWFB,living,2.5,1.224047269139971,2.694818148111048,2.191962664641887,1.9785514868144092,2.1251385447685025,1.4009215760853249,1.5885684639341993,42
AIDA2_betaWFB,living,7.5,1.515728888057527,3.3169731739449255,3.1292167659241708,2.6637456160362896,2.594369276014284,1.7122521621947564,2.0048087841602347,42
AIDA2_betaWFB,living,12.5,1.7855643062364488,3.448019914498653,3.377525407181847,2.825094054769739,3.0438931449194646,1.9516832331062626,2.3778542457278165,42
AIDA2_betaWFB,living,17.5,2.340942144393921,3.41672338441629,3.550956548829255,2.8923864306338265,3.537227193289893,2.364759609018953,2.921303792699331,40
AIDA2_betaWFB,office,2.5,2.0060168981552122,3.407605056424773,3.6977159468208542,2.946158775368705,3.3335870523704423,1.9743291067538262,2.640975783173339,40
AIDA2_betaWFB,office,7.5,2.572898542008749,3.354566136531734,3.887048139634878,2.9918872663924847,3.9692252800406123,2.3559890136686277,3.2618876361703704,41
AIDA2_betaWFB,office,12.5,2.9508058513913835,3.4218388009093337,3.9583288285318825,3.094043830311086,4.351426809212283,2.6367641919449714,3.6579615053032315,42
AIDA2_betaWFB,office,17.5,3.3737385621884974,3.4362660493916866,4.025249988882464,3.1408052450633437,4.732955670630158,2.9765834601177485,4.092095004810972,41
AIDA2_betaWFB,psquare,2.5,1.3153897029597585,3.2986516894044344,3.0004147331870925,2.5824779653165795,2.6777739840304364,1.527132385318367,1.9336346588098765,41
AIDA2_betaWFB,psquare,7.5,1.5720639739717757,3.4231265162063513,3.295998432769006,2.7954227214123057,3.0422280697994886,1.7792570583834246,2.2661282059038257,42
AIDA2_betaWFB,psquare,12.5,1.9692352835724993,3.495232706019755,3.6124029913702733,2.9835959686189897,3.5557769063337417,2.0893868491955594,2.7412224136445293,41
AIDA2_betaWFB,psquare,17.5,2.582401658807482,3.4593658964836282,3.6827367552110273,3.0006174146060585,4.042690766045749,2.5153093051019586,3.3037715304680613,42
AIDA2_betauFB,bus,2.5,1.8405201037724812,3.3483609975095825,3.3272692428501975,2.7570273438255932,3.2061755232288194,1.8326406263448471,2.4706925786441536,42
AIDA2_betauFB,bus,7.5,2.3895942263486907,3.4658680132249193,3.7399694995384882,3.0101308414350214,3.8061732823906382,2.2601978086516827,3.0763057812496024,41
AIDA2_betauFB,bus,12.5,2.7669566142849806,3.440965677529398,3.8448174117289002,3.0511197185391903,4.228483252380041,2.5837404432382485,3.494669729040129,41
AIDA2_betauFB,bus,17.5,3.341105705499649,3.4531813517360392,3.906748529316549,3.0997476129397823,4.638602416440175,2.970478576516906,4.037377365164023,40
AIDA2_betauFB,cafe,2.5,1.172793638138544,2.3715760251708966,1.8953637526764213,1.7522881353969761,1.9688695231985647,1.3992040408357862,1.4816004761504562,42
AIDA2_betauFB,cafe,7.5,1.3877375811338424,3.2451947449928467,2.74341859404709,2.44119154587258,2.552522341358297,1.6732169079804229,1.9113300869803858,40
