system,noise,snr_db,metric,n,mean,ci_low,ci_high,nu_mean
AIDA2_betaWFB,office,2.5,CSIG,40,3.331155776977539,3.2276883125305176,3.4398674964904785,23.691856384277344
AIDA2_betaWFB,office,2.5,CBAK,40,1.9807666540145874,1.9008057117462158,2.058619260787964,23.60152816772461
AIDA2_betaWFB,office,2.5,COVL,40,2.6482152938842773,2.5244147777557373,2.7636728286743164,24.84100914001465
AIDA2_betaWFB,office,7.5,PESQ,41,2.5940909385681152,2.45188045501709,2.7264013290405273,21.523963928222656
AIDA2_betaWFB,office,7.5,CSIG,41,3.9781582355499268,3.8670434951782227,4.0822296142578125,23.42198371887207
AIDA2_betaWFB,office,7.5,CBAK,41,2.3659653663635254,2.297750949859619,2.435299873352051,21.295480728149414
AIDA2_betaWFB,office,7.5,COVL,41,3.274583578109741,3.158216714859009,3.3879201412200928,23.20072364807129
AIDA2_betaWFB,office,12.5,PESQ,42,2.9736783504486084,2.8424129486083984,3.1067793369293213,18.38564109802246
AIDA2_betaWFB,office,12.5,CSIG,42,4.3539299964904785,4.247127056121826,4.456925392150879,22.5463924407959
AIDA2_betaWFB,office,12.5,CBAK,42,2.644986867904663,2.5728402137756348,2.7169878482818604,20.61912727355957
AIDA2_betaWFB,office,12.5,COVL,42,3.66662859916687,3.544867515563965,3.784982442855835,21.295669555664062
AIDA2_betaWFB,office,17.5,PESQ,41,3.416783332824707,3.3005752563476562,3.526986598968506,8.650604248046875
AIDA2_betaWFB,office,17.5,CSIG,41,4.776343822479248,4.6789679527282715,4.8694376945495605,10.931390762329102
AIDA2_betaWFB,office,17.5,CBAK,41,2.99869966506958,2.923347234725952,3.064615249633789,12.364104270935059
AIDA2_betaWFB,office,17.5,COVL,41,4.12207555770874,3.9999547004699707,4.231335639953613,12.515270233154297
AIDA2_betaWFB,psquare,2.5,PESQ,41,1.3083055019378662,1.2500289678573608,1.3675862550735474,20.06314468383789
AIDA2_betaWFB,psquare,2.5,CSIG,41,2.680361270904541,2.5765552520751953,2.7830052375793457,21.556196212768555
AIDA2_betaWFB,psquare,2.5,CBAK,41,1.5264678001403809,1.4717328548431396,1.580241084098816,24.309494018554688
AIDA2_betaWFB,psquare,2.5,COVL,41,1.9329102039337158,1.8525010347366333,2.011148452758789,22.08672332763672
AIDA2_betaWFB,psquare,7.5,PESQ,42,1.5719926357269287,1.479472279548645,1.6622463464736938,25.861631393432617
AIDA2_betaWFB,psquare,7.5,CSIG,42,3.045754909515381,2.950021266937256,3.1421399116516113,22.949731826782227
AIDA2_betaWFB,psquare,7.5,CBAK,42,1.781509518623352,1.7314327955245972,1.831099271774292,21.475305557250977
AIDA2_betaWFB,psquare,7.5,COVL,42,2.2672555446624756,2.1811623573303223,2.350419759750366,24.51993179321289
AIDA2_betaWFB,psquare,12.5,PESQ,41,1.969710350036621,1.822953701019287,2.121309518814087,25.203285217285156
AIDA2_betaWFB,psquare,12.5,CSIG,41,3.5636510848999023,3.439969539642334,3.6853702068328857,17.54034996032715
AIDA2_betaWFB,psquare,12.5,CBAK,41,2.0936193466186523,2.012467384338379,2.1715478897094727,22.75871467590332
AIDA2_betaWFB,psquare,12.5,COVL,41,2.742424249649048,2.6005475521087646,2.87754225730896,23.20966911315918
AIDA2_betaWFB,psquare,17.5,PESQ,42,2.5935075283050537,2.4670209884643555,2.7284648418426514,24.01519203186035
AIDA2_betaWFB,psquare,17.5,CSIG,42,4.05684232711792,3.9174060821533203,4.1968994140625,22.234830856323242
AIDA2_betaWFB,psquare,17.5,CBAK,42,2.5197062492370605,2.449376344680786,2.5885517597198486,23.690183639526367
AIDA2_betaWFB,psquare,17.5,COVL,42,3.316284418106079,3.184990406036377,3.4515256881713867,23.270477294921875
AIDA2_betauFB,bus,2.5,PESQ,42,1.8117494583129883,1.6492544412612915,1.9770679473876953,20.796005249023438
AIDA2_betauFB,bus,2.5,CSIG,42,3.2002642154693604,3.047220230102539,3.358905792236328,22.505355834960938
AIDA2_betauFB,bus,2.5,CBAK,42,1.821141242980957,1.736100196838379,1.9079619646072388,20.13743782043457
AIDA2_betauFB,bus,2.5,COVL,42,2.4481375217437744,2.2993853092193604,2.6122641563415527,20.674137115478516
AIDA2_betauFB,bus,7.5,PESQ,41,2.392963409423828,2.2058451175689697,2.5824217796325684,24.00484275817871
AIDA2_betauFB,bus,7.5,CSIG,41,3.8077175617218018,3.6469712257385254,3.9765987396240234,23.43687629699707
AIDA2_betauFB,bus,7.5,CBAK,41,2.266005516052246,2.1708767414093018,2.360992193222046,23.924041748046875
AIDA2_betauFB,bus,7.5,COVL,41,3.0772345066070557,2.898115634918213,3.2528932094573975,23.85955238342285
AIDA2_betauFB,bus,12.5,PESQ,41,2.7908780574798584,2.627746820449829,2.9521079063415527,18.227399826049805
AIDA2_betauFB,bus,12.5,CSIG,41,4.247047424316406,4.094624996185303,4.397911071777344,20.815717697143555
AIDA2_betauFB,bus,12.5,CBAK,41,2.595259428024292,2.498453378677368,2.691840171813965,19.88963508605957
AIDA2_betauFB,bus,12.5,COVL,41,3.514124870300293,3.3521931171417236,3.6665728092193604,20.465633392333984
AIDA2_betauFB,bus,17.5,PESQ,40,3.353041172027588,3.1776955127716064,3.521575689315796,21.560802459716797
AIDA2_betauFB,bus,17.5,CSIG,40,4.668032169342041,4.52816915512085,4.808291912078857,18.257837295532227
AIDA2_betauFB,bus,17.5,CBAK,40,2.973571300506592,2.8662118911743164,3.077510356903076,22.800779342651367
AIDA2_betauFB,bus,17.5,COVL,40,4.0495195388793945,3.889021635055542,4.222993850708008,22.279109954833984
AIDA2_betauFB,cafe,2.5,PESQ,42,1.1660957336425781,1.1292943954467773,1.2044514417648315,19.75798225402832
AIDA2_betauFB,cafe,2.5,CSIG,42,1.9744629859924316,1.850953459739685,2.095426082611084,20.989044189453125
AIDA2_betauFB,cafe,2.5,CBAK,42,1.4016317129135132,1.3584588766098022,1.447747826576233,24.352863311767578
AIDA2_betauFB,cafe,2.5,COVL,42,1.4836621284484863,1.4019310474395752,1.5654218196868896,23.371734619140625
AIDA2_betauFB,cafe,7.5,PESQ,40,1.362410306930542,1.2867406606674194,1.4427729845046997,14.895296096801758
AIDA2_betauFB,cafe,7.5,CSIG,40,2.5425736904144287,2.414828062057495,2.6719987392425537,21.099109649658203
AIDA2_betauFB,cafe,7.5,CBAK,40,1.6641604900360107,1.6015872955322266,1.729443907737732,18.625226974487305
AIDA2_betauFB,cafe,7.5,COVL,40,1.8958191871643066,1.798438310623169,1.9945420026779175,18.049482345581055
AIDA2_betauFB,cafe,12.5,PESQ,41,1.6342569589614868,1.527812123298645,1.738598108291626,24.23432159423828
AIDA2_betauFB,cafe,12.5,CSIG,41,2.9965577125549316,2.8757870197296143,3.1180591583251953,23.682415008544922
AIDA2_betauFB,cafe,12.5,CBAK,41,1.9296740293502808,1.8686726093292236,1.9914017915725708,24.449321746826172
AIDA2_betauFB,cafe,12.5,COVL,41,2.275773048400879,2.169788122177124,2.3845698833465576,23.933454513549805
AIDA2_betauFB,cafe,17.5,PESQ,41,2.0234522819519043,1.8769919872283936,2.1657626628875732,24.843530654907227
AIDA2_betauFB,cafe,17.5,CSIG,41,3.476895332336426,3.348262310028076,3.6045472621917725,24.56329917907715
AIDA2_betauFB,cafe,17.5,CBAK,41,2.232475996017456,2.153111696243286,2.313443183898926,25.174333572387695
AIDA2_betauFB,cafe,17.5,COVL,41,2.7288849353790283,2.5969345569610596,2.863121509552002,24.6109619140625
AIDA2_betauFB,living,2.5,PESQ,42,1.218524694442749,1.1763148307800293,1.2622970342636108,22.81026268005371
AIDA2_betauFB,living,2.5,CSIG,42,2.1681294441223145,2.054603338241577,2.2670235633850098,11.343779563903809
AIDA2_betauFB,living,2.5,CBAK,42,1.4284048080444336,1.3891123533248901,1.4663403034210205,23.25238800048828
AIDA2_betauFB,living,2.5,COVL,42,1.6064013242721558,1.540837049484253,1.6648048162460327,13.019506454467773
AIDA2_betauFB,living,7.5,PESQ,42,1.4776924848556519,1.380731225013733,1.5696784257888794,26.678030014038086
AIDA2_betauFB,living,7.5,CSIG,42,2.6193437576293945,2.4714386463165283,2.7600808143615723,13.907293319702148
