BAK,snr_db,PESQ,SIG,filename,OVRL,processing_timestamp,noise_type
4.066553177542364,17.5,3.1007611751556396,3.5464863258106827,p257_001.wav,3.2512717124074726,2025-12-03T11:46:13.321,bus
3.807731830530603,12.5,2.674659490585327,3.190728400182107,p257_002.wav,2.8249575881090925,2025-12-03T11:46:14.45,bus
3.0929826311968345,7.5,1.7064486742019653,3.569264630203284,p257_003.wav,2.7948808929085853,2025-12-03T11:46:16.372,bus
3.6233180558640776,2.5,2.0502376556396484,3.4711100073809513,p257_004.wav,2.9545496196928673,2025-12-03T11:46:18.276,bus
3.7231803418377174,17.5,2.336578369140625,3.255337556546849,p257_006.wav,2.8263776922359836,2025-12-03T11:46:20.464,cafe
3.1239561807036065,12.5,1.6107325553894043,3.2560516296098845,p257_007.wav,2.526294367517526,2025-12-03T11:46:21.991,cafe
2.5101865790521853,7.5,1.3430808782577515,3.4102224115254143,p257_008.wav,2.401882110662438,2025-12-03T11:46:23.863,cafe
1.2205563031257904,2.5,1.1748032569885254,1.316428318580363,p257_009.wav,1.1781072631372114,2025-12-03T11:46:25.425,cafe
3.585948135697731,17.5,2.6356704235076904,3.090115319869719,p257_010.wav,2.6351561515370996,2025-12-03T11:46:26.254,living
4.089649925431772,12.5,2.8033335208892822,3.4490916335361956,p257_011.wav,3.1774467044331067,2025-12-03T11:46:27.943,living
3.7788394607838374,7.5,1.865464448928833,3.485122386342796,p257_012.wav,3.0675221787194387,2025-12-03T11:46:29.951,living
2.024710543085625,2.5,1.1368472576141357,2.809585273545474,p257_013.wav,1.9374679205511285,2025-12-03T11:46:31.272,living
4.065810608724911,17.5,3.3333003520965576,3.6095936374103132,p257_014.wav,3.308376045369871,2025-12-03T11:46:32.998,office
4.1487995333631265,12.5,3.6278700828552246,3.638216190651225,p257_015.wav,3.3913957153992134,2025-12-03T11:46:34.475,office
4.023035717177377,7.5,2.767019748687744,3.3619448930686535,p257_016.wav,3.034731816468475,2025-12-03T11:46:36.189,office
3.7934168273013165,2.5,1.9198861122131348,3.1814426403362126,p257_017.wav,2.81292338503386,2025-12-03T11:46:37.431,office
3.9241714383554434,17.5,3.0232207775115967,3.3756347627198364,p257_018.wav,3.0269704642366526,2025-12-03T11:46:39.66,psquare
3.8887794334231147,12.5,2.2916386127471924,3.274457388596528,p257_019.wav,2.909923749853033,2025-12-03T11:46:41.498,psquare
3.4291105238473545,7.5,1.8409655094146729,3.573387072222107,p257_020.wav,2.9605583137055795,2025-12-03T11:46:43.045,psquare
3.668427816150774,2.5,1.6549909114837646,3.508966229211158,p257_022.wav,3.054459597974596,2025-12-03T11:46:44.575,psquare
3.837919519914982,17.5,3.266944169998169,3.426629335339728,p257_023.wav,3.0486942463743425,2025-12-03T11:46:48.007,bus
3.9022734569484383,12.5,3.4877521991729736,3.5481590108781647,p257_024.wav,3.189705275537995,2025-12-03T11:46:49.487,bus
4.0400752291798865,7.5,2.455235004425049,3.334995928862373,p257_025.wav,3.0658059367877772,2025-12-03T11:46:50.427,bus
3.9314222533971708,2.5,1.6872968673706055,3.46209832137424,p257_026.wav,3.0933995873272275,2025-12-03T11:46:51.701,bus
3.805140819027963,17.5,1.5519380569458008,3.392988172019257,p257_027.wav,2.998295101587488,2025-12-03T11:46:52.982,cafe
3.217233738005379,12.5,1.7048693895339966,3.2141280231817446,p257_028.wav,2.590905555798623,2025-12-03T11:46:54.233,cafe
3.1766642583328877,7.5,1.1396337747573853,3.5681172817234432,p257_029.wav,2.7650927549096145,2025-12-03T11:46:55.807,cafe
3.336741680958049,2.5,1.1633025407791138,3.425448246372,p257_030.wav,2.814514339299161,2025-12-03T11:46:56.929,cafe
3.1230924163873723,17.5,2.383812665939331,3.225131894641501,p257_031.wav,2.5026385836074367,2025-12-03T11:46:57.452,living
3.534327743286914,12.5,2.0977401733398438,3.3181154777702044,p257_032.wav,2.743439344512766,2025-12-03T11:46:58.747,living
3.4160050279762144,7.5,1.169222354888916,3.0832284289359544,p257_033.wav,2.5171222860550193,2025-12-03T11:46:59.934,living
1.7537943907384135,2.5,1.2969238758087158,2.1898062532169953,p257_034.wav,1.6440978712279326,2025-12-03T11:47:01.311,living
3.811824881916574,17.5,3.5036091804504395,3.3101642696029776,p257_035.wav,2.9231234304347304,2025-12-03T11:47:02.959,office
3.874400088838965,12.5,2.7116477489471436,2.9675726531257514,p257_036.wav,2.664544499233471,2025-12-03T11:47:04.142,office
3.8301557399176467,7.5,2.1650187969207764,2.9344548316842234,p257_037.wav,2.613572573676941,2025-12-03T11:47:04.857,office
3.9214652615695345,2.5,2.5363409519195557,3.4052931341589403,p257_038.wav,3.064249195624317,2025-12-03T11:47:06.331,office
3.90667549485429,17.5,2.780583620071411,3.3046431443984234,p257_039.wav,2.987293880830318,2025-12-03T11:47:07.232,psquare
3.7066922278439254,12.5,1.884155511856079,3.492217427552164,p257_040.wav,3.0479713507642154,2025-12-03T11:47:08.154,psquare
3.7840319772840463,7.5,1.2146915197372437,3.365099024076381,p257_041.wav,2.948327119505584,2025-12-03T11:47:09.254,psquare
3.130141455602117,2.5,1.063363790512085,3.0647965103026196,p257_042.wav,2.418678039930928,2025-12-03T11:47:10.49,psquare
3.483483191539707,17.5,1.8872613906860352,3.503440199727959,p257_043.wav,2.9079260368297235,2025-12-03T11:47:12.049,bus
3.8030060341706102,12.5,2.838899850845337,3.1370057645353886,p257_044.wav,2.7636938993710674,2025-12-03T11:47:13.278,bus
3.742782588281227,7.5,2.3517422676086426,2.9133073236378912,p257_045.wav,2.5744235653188174,2025-12-03T11:47:14.319,bus
3.96285925398618,2.5,2.7821743488311768,3.152750570207323,p257_046.wav,2.842037696197499,2025-12-03T11:47:15.235,bus
3.588779050810798,17.5,1.549923062324524,3.618399878191133,p257_047.wav,3.091734527669914,2025-12-03T11:47:16.146,cafe
3.593099280739485,12.5,1.5337533950805664,3.259067438991859,p257_048.wav,2.7713110828852656,2025-12-03T11:47:17.187,cafe
3.2724636270651133,7.5,1.4371998310089111,3.0940190526254745,p257_049.wav,2.4789220887408114,2025-12-03T11:47:18.512,cafe
2.31860388979802,2.5,1.0358129739761353,2.61462558188932,p257_050.wav,1.869032519202527,2025-12-03T11:47:19.927,cafe
3.8671402826405825,17.5,2.5675714015960693,3.353911585046274,p257_051.wav,3.002405952109894,2025-12-03T11:47:21.042,living
3.2148278216921073,12.5,2.4121580123901367,3.098783034434507,p257_052.wav,2.4181886820233953,2025-12-03T11:47:22.587,living
3.2188410635303186,7.5,1.1225224733352661,3.1462587515803913,p257_053.wav,2.5463935021989226,2025-12-03T11:47:23.467,living
1.38588422464781,2.5,1.0868922472000122,1.5964343120599636,p257_054.wav,1.293379320106981,2025-12-03T11:47:25.067,living
4.057949693550839,17.5,3.7577011585235596,3.3250307537619017,p257_055.wav,3.056456446892138,2025-12-03T11:47:25.933,office
3.786370128082705,12.5,2.5769708156585693,3.118182402260109,p257_056.wav,2.7266825595126605,2025-12-03T11:47:26.648,office
4.050068566068733,7.5,2.9183833599090576,3.4010434079926277,p257_057.wav,3.111412368383641,2025-12-03T11:47:27.754,office
3.7892874050368826,2.5,2.059263229370117,3.489525514012685,p257_058.wav,3.0378989167800814,2025-12-03T11:47:29.137,office
3.5519742155092215,17.5,2.4910457134246826,3.369405638313965,p257_059.wav,2.855907589093264,2025-12-03T11:47:30.898,psquare
3.7347217161616015,12.5,1.6041808128356934,3.5943099781838805,p257_060.wav,3.1274460452528183,2025-12-03T11:47:31.971,psquare
2.5071089660256516,7.5,1.5290327072143555,2.8508878823948733,p257_061.wav,2.0941331387184055,2025-12-03T11:47:33.665,psquare
3.37278975253334,2.5,1.2122843265533447,3.522206942377572,p257_062.wav,2.8781159667548963,2025-12-03T11:47:34.496,psquare
3.7632183855102475,17.5,2.206892490386963,3.2435306804187585,p257_063.wav,2.860373609241218,2025-12-03T11:47:36.047,bus
3.4722472268556737,12.5,1.545182704925537,3.0635730481170134,p257_064.wav,2.562226823674029,2025-12-03T11:47:37.584,bus
3.6741173316910043,7.5,1.6845840215682983,3.4385789704136926,p257_065.wav,2.940439681748571,2025-12-03T11:47:38.455,bus
3.6093925138200644,2.5,1.5835444927215576,3.6229683732828613,p257_066.wav,3.085939504384758,2025-12-03T11:47:39.381,bus
3.215989869064907,17.5,1.9753267765045166,3.26417746416699,p257_067.wav,2.6204637226327536,2025-12-03T11:47:40.59,cafe
3.9185948894454565,12.5,1.9529703855514526,3.3247128911397574,p257_068.wav,2.9946522540680807,2025-12-03T11:47:41.969,cafe
2.638289746912027,7.5,1.223813772201538,3.2643130076538123,p257_069.wav,2.2923329272156803,2025-12-03T11:47:43.052,cafe
1.337446862924704,2.5,1.1583688259124756,1.714473604946682,p257_070.wav,1.3153926955646746,2025-12-03T11:47:43.893,cafe
